C02173V02619,Area of Residence,TLIST(Q1),Quarter,STATISTIC,Statistic Label,UNIT,VALUE
FR,France,20153,2015Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,84
FR,France,20154,2015Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,101
FR,France,20154,2015Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.6
FR,France,20154,2015Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,41
FR,France,20161,2016Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,98
FR,France,20161,2016Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.3
FR,France,20161,2016Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,42
FR,France,20162,2016Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,165
FR,France,20162,2016Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.9
FR,France,20162,2016Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,92
FR,France,20163,2016Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,171
FR,France,20163,2016Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,10.6
FR,France,20163,2016Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,103
FR,France,20164,2016Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,98
FR,France,20164,2016Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.4
